"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110","mh111","mh112","mh113","mh114","mh115","mh116","mh117","mh118","mh119","mh120","mh121","mh122","mh123","mh124","mh125","mh126","mh127","mh128","mh129","mh130","mh131","mh132","mh133","mh134","mh135","mh136","mh137","mh138","mh139","mh140","mh141","mh142","mh143","mh144","mh145","mh146","mh147","mh148","mh149","mh150","mh151","mh152","mh153","mh154","mh155","mh156","mh157","mh158","mh159","mh160","mh161","mh162"
"520",8393,1032,272,937,681,690,769,462,2053,3524,2067,1339,356,412,796,520,1040,1211,837,496,1253,3154,2101,1548,1491,1275,659,1396,3433,2709,1622,3734,4606,1340,2094,6498,3753,5924,3573,3569,1687,2768,5998,5079,4335,4517,2633,1123,1786,3728,3785,2264,5674,4403,1217,1495,2726,4453,4768,3245,2916,2129
"521",7563,649,831,794,592,363,327,1517,2223,2544,2349,1415,258,251,459,2095,1381,1106,563,247,304,929,746,1292,725,809,608,1514,4604,5332,2614,5434,4757,1957,2464,3867,3186,2657,1798,1514,739,787,1917,1763,1640,1703,1612,596,599,1772,1560,924,1455,1083,567,687,1664,1844,1628,1814,1459,466
"522",7593,609,849,705,587,353,355,1752,2702,1572,459,239,47,39,85,321,366,405,229,76,95,201,409,1016,613,756,565,1427,4186,4934,2503,4979,4331,1856,2356,4879,5290,4359,3038,2589,1044,1100,2763,2524,1935,1806,1606,657,643,1824,1580,1069,1493,893,396,535,1272,1370,1249,1270,1098,365
"523",7576,591,824,785,580,349,323,873,612,519,376,260,40,56,84,463,389,382,174,84,135,399,283,386,239,409,304,766,2345,2636,1338,2727,2524,964,1187,3130,3867,3140,2071,1837,891,919,2272,2104,2115,2305,2043,899,839,2299,2239,1311,1869,1361,703,842,2273,2443,2163,2328,1993,834
"524",7613,550,814,736,591,334,346,995,888,873,743,570,116,113,182,788,1093,1234,663,252,343,874,524,765,454,473,337,839,2689,3020,1587,3023,2674,1121,1442,3463,4224,3414,2371,2110,970,1055,2733,2441,2534,2687,2458,952,1029,2786,2456,1608,2366,1340,614,696,1796,2012,1652,1831,1650,567
"525",122844,51258,71489,56237,45887,46290,43969,88285,136966,123508,96752,63440,78055,86108,103066,71670,54352,46001,42311,31052,31850,51433,29850,10406,49953,21005,105782,82174,105824,94133,66399,108995,95239,71130,67741,86543,47935,44457,46205,46401,35500,33503,50720,33851,46789,70642,23782,68271,66277,39829,39024,25022,37550,31438,27347,29276,48036,49622,41262,49756,43281,45046
"526",123430,51240,72528,56272,45871,45372,44461,47120,19946,20538,19419,15979,21098,23240,27500,19359,22033,29557,26879,19582,28925,51309,26904,5354,14188,4473,22440,17087,22399,19833,14078,23175,19998,15060,14376,25777,22099,20271,21182,21372,16321,15323,23254,15742,16807,19734,6664,19160,18477,10976,10884,6933,10319,11584,12058,13063,21265,22092,18410,22204,19036,16560
"527",123130,51301,71801,56089,45847,45760,44127,62691,65012,85472,99266,71777,92360,102125,96243,58315,67577,91812,84366,61428,35369,43365,28319,15302,35137,9601,48916,37234,49061,43468,30821,49896,43594,32646,31068,45822,31106,28876,30044,30573,31416,29431,44663,30211,36843,50507,17106,49302,47822,28834,28211,17894,27167,26209,25575,27125,44653,46302,38069,46353,39327,28179
"528",123353,51046,71416,56218,45913,45782,43911,49730,27608,28432,26764,15818,18752,20829,49943,44391,28558,16428,15052,10982,26531,51168,28112,7267,17865,5282,26348,20508,26358,23750,16615,27096,23934,17688,16617,67730,82237,76244,79905,78930,53804,49945,75638,50831,50687,54620,18226,53475,51738,30758,30386,19461,29007,33518,36353,39096,63367,66587,55349,66552,56578,38580
"529",24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530",26,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"531",27,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"532",26,1,2,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
