"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110","Mh111","Mh112","Mh113","Mh114","Mh115","Mh116","Mh117","Mh118","Mh119","Mh120","Mh121","Mh122","Mh123","Mh124","Mh125","Mh126","Mh127","Mh128","Mh129","Mh130","Mh131","Mh132","Mh133","Mh134","Mh135","Mh136","Mh137","Mh138","Mh139","Mh140","Mh141","Mh142","Mh143","Mh144","Mh145","Mh146","Mh147","Mh148","Mh149","Mh150","Mh151","Mh152","Mh153","Mh154","Mh155","Mh156","Mh157","Mh158","Mh159","Mh160","Mh161","Mh162"
"504",746779,34071,35075,34249,34356,33284,32945,128349,126900,125666,124987,121642,64502,66153,47427,116893,129974,133826,115145,55014,61912,129175,122390,125777,128640,116472,8653,98813,116186,120516,114855,115859,116947,106892,104493,111647,119510,116556,117385,113597,89612,86637,108862,111809,115507,118098,117694,100368,98225,114501,140453,50345,132179,131397,78761,80143,129838,110242,122170,122857,126959,96121
"505",79888,2132,1024,2388,1626,2745,2954,5327,7291,9383,10267,13669,8428,10195,18923,13510,12854,11201,11982,10452,13127,15195,15539,11719,18067,23554,20566,21053,14533,13703,17072,16017,14649,24902,26059,18447,7996,11342,9332,10778,18689,22110,15366,14289,10273,10622,8170,13100,14255,12368,12936,20683,18626,16019,13715,16927,14617,13776,14538,12593,7681,11303
"506",79888,2132,1024,2388,1626,2745,2954,5327,7291,9383,10267,13669,8428,10195,18923,13510,12854,11201,11982,10452,13127,15195,15539,11719,18067,23554,20566,21053,14533,13703,17072,16017,14649,24902,26059,18447,7996,11342,9332,10778,18689,22110,15366,14289,10273,10622,8170,13100,14255,12368,12936,20683,18626,16019,13715,16927,14617,13776,14538,12593,7681,11303
"507",79888,2132,1024,2388,1626,2745,2954,5327,7291,9383,10267,13669,8428,10195,18923,13510,12854,11201,11982,10452,13127,15195,15539,11719,18067,23554,20566,21053,14533,13703,17072,16017,14649,24902,26059,18447,7996,11342,9332,10778,18689,22110,15366,14289,10273,10622,8170,13100,14255,12368,12936,20683,18626,16019,13715,16927,14617,13776,14538,12593,7681,11303
"508",79888,2132,1024,2388,1626,2745,2954,5327,7291,9383,10267,13669,8428,10195,18923,13510,12854,11201,11982,10452,13127,15195,15539,11719,18067,23554,20566,21053,14533,13703,17072,16017,14649,24902,26059,18447,7996,11342,9332,10778,18689,22110,15366,14289,10273,10622,8170,13100,14255,12368,12936,20683,18626,16019,13715,16927,14617,13776,14538,12593,7681,11303
"509",93583,3286,3492,3526,2881,2360,2458,17054,15016,13221,12126,9127,2927,2665,5952,5175,6087,3410,2746,1234,1340,2797,2372,3602,3388,3866,2671,6948,8820,10704,12931,15890,16276,12922,14086,13893,13799,11683,12524,11519,10748,10426,14514,13478,11626,11487,11385,8490,8562,11075,14597,15603,15141,14962,10222,10287,15797,12961,10299,11570,11333,9588
"510",93583,3286,3492,3526,2881,2360,2458,17054,15016,13221,12126,9127,2927,2665,5952,5175,6087,3410,2746,1234,1340,2797,2372,3602,3388,3866,2671,6948,8820,10704,12931,15890,16276,12922,14086,13893,13799,11683,12524,11519,10748,10426,14514,13478,11626,11487,11385,8490,8562,11075,14597,15603,15141,14962,10222,10287,15797,12961,10299,11570,11333,9588
"511",93583,3286,3492,3526,2881,2360,2458,17054,15016,13221,12126,9127,2927,2665,5952,5175,6087,3410,2746,1234,1340,2797,2372,3602,3388,3866,2671,6948,8820,10704,12931,15890,16276,12922,14086,13893,13799,11683,12524,11519,10748,10426,14514,13478,11626,11487,11385,8490,8562,11075,14597,15603,15141,14962,10222,10287,15797,12961,10299,11570,11333,9588
"512",93583,3286,3492,3526,2881,2360,2458,17054,15016,13221,12126,9127,2927,2665,5952,5175,6087,3410,2746,1234,1340,2797,2372,3602,3388,3866,2671,6948,8820,10704,12931,15890,16276,12922,14086,13893,13799,11683,12524,11519,10748,10426,14514,13478,11626,11487,11385,8490,8562,11075,14597,15603,15141,14962,10222,10287,15797,12961,10299,11570,11333,9588
"513",273255,32130,34943,31693,31088,20307,20268,53029,63233,55861,50549,37982,12762,14458,10888,32088,41696,40993,22731,9750,11145,35436,30279,34479,26007,24148,2231,26138,71815,69310,36407,70902,57941,28175,31675,70395,69054,64801,55695,49861,22558,23928,61501,54985,58443,62723,52395,24577,27474,67070,61401,15021,55994,42213,21599,23158,54531,53946,76500,65612,58516,27408
"514",273255,32130,34943,31693,31088,20307,20268,53029,63233,55861,50549,37982,12762,14458,10888,32088,41696,40993,22731,9750,11145,35436,30279,34479,26007,24148,2231,26138,71815,69310,36407,70902,57941,28175,31675,70395,69054,64801,55695,49861,22558,23928,61501,54985,58443,62723,52395,24577,27474,67070,61401,15021,55994,42213,21599,23158,54531,53946,76500,65612,58516,27408
"515",273255,32130,34943,31693,31088,20307,20268,53029,63233,55861,50549,37982,12762,14458,10888,32088,41696,40993,22731,9750,11145,35436,30279,34479,26007,24148,2231,26138,71815,69310,36407,70902,57941,28175,31675,70395,69054,64801,55695,49861,22558,23928,61501,54985,58443,62723,52395,24577,27474,67070,61401,15021,55994,42213,21599,23158,54531,53946,76500,65612,58516,27408
"516",273255,32130,34943,31693,31088,20307,20268,53029,63233,55861,50549,37982,12762,14458,10888,32088,41696,40993,22731,9750,11145,35436,30279,34479,26007,24148,2231,26138,71815,69310,36407,70902,57941,28175,31675,70395,69054,64801,55695,49861,22558,23928,61501,54985,58443,62723,52395,24577,27474,67070,61401,15021,55994,42213,21599,23158,54531,53946,76500,65612,58516,27408
