"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110"
"308",0,224233,110299,19307,85231,68417,3,8,12,137499
"309",0,210629,104235,28517,54124,43917,1,6,7,86289
"310",0,134323,136783,31158,48456,49596,3,5,6,78279
"311",0,166378,173031,60895,84600,64253,1,11,6,134265
"312",0,406861,381720,216487,416276,231412,1,6,7,97259
"313",0,210932,207186,138248,193741,275398,0,6,12,153721
"314",0,119756,128518,45245,34431,75106,0,4,10,112963
"315",0,211509,256832,136423,102656,150976,0,8,8,125888
"316",0,137969,120889,70703,49434,110271,1,9,5,144385
"317",0,144056,171074,67880,74292,133284,0,5,9,111499
"318",0,140778,164740,116952,127946,200046,1,10,8,100644
"319",0,122232,95788,30151,37220,71619,1,5,8,80769
"320",0,77246,100035,21081,26557,86186,2,8,8,110592
"321",0,32775,30936,6846,9373,24553,1,8,11,43714
"322",0,21935,39989,8163,10406,27435,0,6,5,41553
"323",0,29245,49515,16968,17056,33988,1,9,3,51879
"324",0,70163,99383,52296,77961,116471,3,8,10,46450
"325",77437,46265,24693,14275,6208,0,0,0,0,0
"326",64641,10242,16134,4962,1394,0,0,0,0,0
"327",68720,43056,33366,11921,2845,1,0,0,0,0
"328",65267,13350,13764,6463,1399,0,0,0,0,0
"329",557984,136417,203484,71830,24065,1,0,0,0,0
"330",684322,382218,175083,135621,41400,0,0,0,0,0
"331",561043,194288,109101,32793,9946,0,0,0,0,0
"332",550954,75128,126601,22343,7412,0,0,0,0,0
"333",485939,46663,80081,20996,6358,0,0,0,0,0
"334",485920,71537,109326,22779,6723,0,0,0,0,0
"335",488027,106143,131892,50918,11598,0,0,0,0,0
"336",544784,563277,292515,167813,58077,1,0,0,0,0
"337",44712,8,4,3,6,0,1,1,0,2
"338",44717,1,0,0,1,0,0,2,1,0
"339",44937,8,6,1,4,2,3,2,1,0
"340",44698,3,2,0,1,0,1,1,1,0
"341",74906,3,2,1,1,1,0,0,0,0
"342",74948,2,6,1,0,0,1,0,0,0
"343",74575,12,4,1,2,0,2,2,0,0
"344",74703,27,10,4,9,0,0,0,0,2
"345",0,0,0,0,47681,73452,52130,51878,34427,43101
"346",0,0,0,0,47740,70663,51306,49941,29682,39349
"347",0,0,0,0,47845,63866,34817,37119,22348,29037
"348",0,0,0,0,47486,79775,61918,54000,32467,42596
"349",0,0,0,0,3994,6341,5258,6854,4587,13972
"350",0,0,0,0,4063,6181,5394,6947,4263,12881
"351",0,0,0,0,4054,5439,3917,5903,3719,11370
"352",0,0,0,0,4036,6325,5533,6947,4350,13683
"353",0,0,0,0,50025,68140,46536,46334,28619,37468
"354",0,0,0,0,49702,71081,52004,44572,24294,32644
"355",0,0,0,0,50070,68346,48693,55657,35448,49273
"356",0,0,0,0,49612,70783,52664,45840,30783,41886
"357",0,0,0,0,4186,5648,4646,6668,3983,12427
"358",0,0,0,0,4225,5974,5044,5607,3714,12063
"359",0,0,0,0,4196,5725,5027,7274,4548,14653
"360",0,0,0,0,4087,6021,5332,7166,4648,14659
"361",88552,27,25,15,9,13,15,17,3,2
"362",88522,80,23,29,29,11,6,9,3,3
"363",88819,34,14,7,11,8,4,13,3,2
"364",88639,12,17,3,5,9,15,7,3,2
"365",495894,47,38,14,9,13,14,11,6,7
"366",497196,42,58,6,8,16,14,14,11,6
"367",498228,79,61,18,16,20,15,13,10,11
"368",494946,382,126,50,78,34,16,19,5,4
"369",0,0,0,0,19172,256703,243576,328023,160708,130355
"370",0,0,0,0,19211,232626,208406,281981,148707,116683
"371",0,0,0,0,19071,218729,147486,192318,117868,93573
"372",0,0,0,0,19015,279461,251203,327244,165944,141562
"373",0,0,0,0,19376,232897,194306,270811,124806,94917
"374",0,0,0,0,19061,261070,221560,249088,112790,95908
"375",0,0,0,0,19461,242564,212978,316475,188422,165171
"376",0,0,0,0,19289,251988,219512,292019,164810,123591
"377",1608635,500658,667327,345419,87174,0,0,0,0,0
"378",2340853,1446542,640161,612648,149153,0,0,0,0,0
"379",1627364,737736,355905,159685,43681,0,0,0,0,0
"380",1581295,277430,396226,116597,31021,0,0,0,0,0
"381",174403,0,0,0,0,0,0,0,0,0
"382",174523,0,0,0,0,0,0,0,0,0
"383",174544,0,0,0,0,0,0,0,0,0
"384",174234,0,0,0,0,0,0,0,0,0
"385",19655,0,0,0,0,0,0,0,0,0
"386",19647,0,0,0,0,0,0,0,0,0
"387",19682,0,0,0,0,0,0,0,0,0
"388",19617,0,0,0,0,0,0,0,0,0
"389",78511,0,0,0,0,0,0,0,0,0
"390",78678,0,0,0,0,0,0,0,0,0
"391",78274,0,0,0,0,0,0,0,0,0
"392",78398,0,0,0,0,0,0,0,0,0
"393",234972,21,3,2,0,3,0,1,0,0
"394",234573,3,1,0,0,1,0,0,0,0
"395",234425,13,3,2,0,0,0,0,0,0
"396",233512,7,2,0,1,0,1,0,0,0
"397",240446,2,3,0,0,0,0,0,0,0
"398",239277,7,1,0,0,0,0,0,0,0
"399",239805,8,0,0,0,0,0,0,0,0
"400",239378,1,2,0,1,0,1,0,0,0
"401",615262,202082,351668,2,203645,260566,268296,212068,0,0
"402",788697,506295,367113,4,357866,340592,228111,171402,0,0
"403",622661,264397,216859,2,94782,112260,84240,89324,0,0
"404",613010,114823,246103,1,72892,276895,312880,212093,0,0
"405",766115,78378,198706,67161,71069,159584,204530,222105,125091,112888
"406",774913,119335,242325,82035,91752,336800,302919,312085,120177,109056
"407",780301,176058,282264,151101,142682,301304,349443,428109,371815,364351
"408",928123,920377,617214,608477,713432,645796,337480,516070,268420,243558
"409",14808,18981,9983,7321,17988,8806,6694,7647,438,0
"410",8512,4524,6833,2326,3835,3476,4818,6451,368,0
"411",10417,19211,14150,6588,8596,5070,5131,6885,415,1
"412",9128,6304,6142,2965,4114,4083,6881,8064,509,0
"413",69162,74315,108747,34984,74758,50813,49749,57024,3594,1
"414",130018,163968,105989,64844,130320,66657,43170,44348,2891,3
"415",72240,92397,58153,15733,34626,25246,25586,37998,2541,1
"416",68849,36471,70575,11944,26393,45577,50188,50758,3544,1
"417",32457,10096,17850,5555,13965,38395,53982,60635,4099,2
"418",34178,15530,19405,6829,15865,48117,55752,55541,3463,2
"419",34611,23300,25560,13557,27897,46406,52693,67666,5102,2
"420",67467,110772,51407,48032,141735,119113,58353,67317,4790,3
"421",0,0,0,0,0,0,0,0,0,43194
"422",0,0,0,0,0,0,0,0,0,43018
"423",0,0,0,0,0,0,0,0,0,43664
"424",0,0,0,0,0,0,0,0,0,42759
"425",0,0,0,0,0,0,0,0,0,140582
"426",0,0,0,0,0,0,0,0,0,141319
"427",0,0,0,0,0,0,0,0,0,140228
"428",0,0,0,0,0,0,0,0,0,140568
"429",0,0,0,0,0,0,0,0,0,110516
"430",0,0,0,0,0,0,0,0,0,110261
"431",0,0,0,0,0,0,0,0,0,109932
"432",0,0,0,0,0,0,0,0,0,110311
"433",0,0,0,0,0,1674,2878,4561,480,948
"434",0,0,0,0,0,1700,2615,3736,409,691
"435",0,0,0,0,0,1675,2881,3752,395,822
"436",0,0,0,0,0,1622,3185,4903,490,913
"437",0,0,0,0,0,6793,11849,16014,1936,3132
"438",0,0,0,0,0,6782,11137,15488,1741,2634
"439",0,0,0,0,0,6716,8843,12514,1532,2511
"440",0,0,0,0,0,6817,12477,15373,1854,3345
"441",0,0,0,0,0,4321,6778,9758,962,1970
"442",0,0,0,0,0,4307,6258,8100,881,1958
"443",0,0,0,0,0,4333,6510,10143,1167,2620
"444",0,0,0,0,0,4245,6920,9251,1098,2405
"445",0,0,0,0,0,12991,23761,54002,6471,1
"446",0,0,0,0,0,12924,19990,44045,4865,5
"447",0,0,0,0,0,12903,21192,46076,5165,2
"448",0,0,0,0,0,12874,23751,55922,6127,7
"449",0,0,0,0,0,44660,83281,184688,20635,14
"450",0,0,0,0,0,44502,79240,158063,17742,6
"451",0,0,0,0,0,44663,62176,138881,14677,4
"452",0,0,0,0,0,44474,85107,177524,20764,3
"453",0,0,0,0,0,29986,49077,103412,10780,5
"454",0,0,0,0,0,29963,48101,91775,10167,1
"455",0,0,0,0,0,30242,51927,103733,11833,8
"456",0,0,0,0,0,29973,52329,116191,12446,5
"457",0,0,0,0,0,12058,20351,37329,4213,4
"458",0,0,0,0,0,12140,19871,30759,3194,3
"459",0,0,0,0,0,12253,21272,31814,4094,4
"460",0,0,0,0,0,12086,23850,38447,4361,3
"461",0,0,0,0,0,41107,78344,115604,15571,1
"462",0,0,0,0,0,41048,73528,111490,14428,5
"463",0,0,0,0,0,41213,54395,85435,11237,9
"464",0,0,0,0,0,41266,77845,115989,15447,2
