"","yh101","yh102","yh103","yh104","yh105","yh106","yh107","yh108","yh109","yh110"
"480",2356,2322,1158,1013,1732,631,291,722,442,348
"481",80,29,44,18,59,94,66,92,52,65
"482",96,34,19,2,11,51,57,35,24,25
"483",80,37,16,7,12,34,38,67,31,30
"484",125,52,98,42,171,164,80,114,58,49
"485",4,3,4,0,5,10,8,6,3,1
"486",7,0,2,1,0,5,7,8,1,1
"487",4,4,1,3,15,15,5,3,0,2
"488",8,2,0,2,8,6,9,7,8,8
"489",6,6,0,0,5,1,1,3,0,1
"490",4,1,1,0,1,4,1,1,3,3
"491",2,0,0,0,2,3,3,11,2,0
"492",6,2,0,0,1,3,4,5,2,4
"493",107,49,68,29,85,129,73,89,31,47
"494",110,61,18,10,23,38,32,30,20,16
"495",111,66,31,11,16,41,38,61,42,64
"496",138,106,204,101,176,202,121,180,85,90
"497",14,10,10,4,15,21,14,13,10,9
"498",7,1,4,1,2,13,9,13,3,4
"499",16,6,7,8,27,28,3,4,4,1
"500",15,12,10,4,10,21,24,26,14,6
"501",9,5,0,3,6,8,8,4,1,2
"502",7,4,1,0,7,6,5,7,2,1
"503",8,1,0,0,3,10,3,7,4,2
"504",7,6,3,1,6,7,2,8,1,3
"505",219,89,146,58,141,163,120,140,159,115
"506",245,119,37,26,32,120,128,98,65,52
"507",208,111,79,22,33,56,53,71,60,56
"508",257,205,347,181,255,298,167,344,158,113
"509",27,42,23,16,28,16,21,27,24,10
"510",22,5,9,6,10,12,20,21,14,4
"511",25,25,25,26,51,30,4,16,9,7
"512",31,13,29,19,20,29,28,35,22,16
"513",29,44,3,1,6,10,8,5,7,9
"514",21,13,4,2,11,10,11,7,4,3
"515",25,10,6,0,3,3,4,12,7,5
"516",29,18,13,2,4,13,11,15,7,9
"517",87,22,31,12,53,90,67,93,55,55
"518",77,31,9,2,19,20,20,22,20,22
"519",85,22,6,2,12,39,22,54,30,38
"520",99,56,60,44,134,133,89,95,46,48
"521",8,11,3,6,13,13,13,7,7,4
"522",15,1,3,0,3,13,12,15,4,3
"523",12,14,8,7,24,17,3,2,5,1
"524",17,3,8,1,11,18,13,10,13,9
"525",5,2,4,1,7,5,0,7,2,1
"526",3,1,1,1,7,8,3,2,1,2
"527",8,1,1,1,3,11,2,2,0,2
"528",11,0,2,0,2,10,7,4,1,3
"529",74,58,34,15,74,43,22,49,24,24
"530",56,11,24,3,24,14,10,15,8,5
"531",47,48,49,7,34,23,26,42,16,14
"532",65,28,16,2,25,38,51,33,30,27
